                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1872,                0.83057,                 1.2127,                0.86813,                0.75403,                0.81585,                0.47912,                 1.4545,                 1.0763,                 1.5503,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1755,                0.89772,                 1.2228,                0.86189,                 0.7533,                0.84008,                0.46593,                 1.5167,                 1.0268,                 1.5853,               0.000812,               0.000812,               0.000812
                     62,                 1.1256,                 0.8244,                  1.182,                0.84182,                0.74009,                0.82525,                0.45543,                 1.5165,                 1.0421,                 1.6116,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1594,                0.85701,                 1.2086,                0.84554,                 0.7533,                0.82379,                0.46851,                 1.5123,                 1.0224,                 1.6366,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1381,                0.82566,                 1.2083,                0.84837,                0.78855,                0.85585,                0.49457,                 1.4898,                0.99679,                 1.6175,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1394,                 0.8447,                 1.2102,                0.87244,                0.77974,                0.86251,                0.48504,                 1.4933,                0.97315,                 1.6147,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1215,                 0.8215,                 1.1882,                0.88115,                0.74449,                0.83996,                0.48481,                 1.4698,                 1.0183,                 1.6015,               0.000713,               0.000713,               0.000713
                     67,                 1.1046,                0.80583,                 1.1804,                0.90414,                0.74792,                0.84124,                0.49058,                 1.4777,                0.98573,                 1.6217,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1097,                0.80517,                 1.1832,                0.91617,                0.74449,                0.85001,                0.49768,                  1.527,                0.97534,                 1.6774,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1017,                 0.7858,                 1.1797,                0.87083,                0.74247,                 0.8391,                0.50033,                 1.5091,                0.98451,                 1.6218,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1222,                0.77839,                 1.1935,                0.92236,                0.73568,                0.83214,                0.48302,                 1.5046,                 1.0255,                 1.6201,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1067,                0.77149,                 1.1837,                0.88439,                0.74138,                0.83703,                0.47989,                 1.5018,                  1.009,                 1.6183,               0.000614,               0.000614,               0.000614
                     72,                 1.0516,                0.73132,                 1.1438,                0.84249,                0.77974,                0.83252,                0.46415,                 1.5643,                 1.0036,                 1.6576,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0965,                0.75484,                  1.163,                 0.8208,                0.76673,                 0.8306,                0.48868,                 1.5147,                 1.0535,                 1.6241,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0604,                0.75117,                 1.1624,                0.91942,                0.70372,                 0.8374,                0.48555,                 1.4941,                 1.0148,                 1.6358,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0666,                0.77082,                 1.1705,                0.90313,                0.74449,                0.84002,                0.47993,                 1.5315,                 1.0293,                 1.6443,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0492,                0.76503,                 1.1415,                0.92508,                0.73128,                0.84103,                  0.491,                 1.4713,                0.97908,                  1.594,               0.000515,               0.000515,               0.000515
                     77,                 1.0217,                0.74148,                 1.1455,                0.90048,                 0.7489,                0.82623,                0.47635,                  1.465,                 1.0115,                 1.5653,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0261,                0.72286,                 1.1451,                0.93185,                0.73128,                0.83763,                0.48024,                 1.5117,                  1.003,                  1.617,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0246,                 0.7272,                 1.1308,                0.87643,                0.76652,                0.82961,                0.47744,                 1.5291,                  1.063,                 1.6325,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0231,                0.72189,                 1.1319,                0.90267,                0.77533,                  0.851,                0.48413,                 1.5159,                0.98281,                 1.6144,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0074,                0.72317,                 1.1149,                0.88931,                0.74328,                0.82387,                0.47731,                 1.5165,                0.99824,                 1.6216,               0.000416,               0.000416,               0.000416
                     82,                0.99682,                 0.7133,                  1.124,                0.85954,                0.78178,                0.84169,                0.48733,                  1.508,                0.97104,                 1.6295,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0085,                0.69891,                 1.1081,                0.90466,                0.77974,                0.84962,                0.49864,                  1.486,                0.98482,                 1.6156,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0036,                0.69435,                 1.1183,                0.89637,                0.76212,                0.84112,                0.49745,                 1.4695,                0.99685,                 1.5825,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.9928,                0.67995,                 1.1282,                 0.9028,                0.74449,                0.84018,                0.48299,                 1.4811,                0.99906,                  1.611,              0.0003368,              0.0003368,              0.0003368
                     86,                0.99992,                0.68775,                 1.1078,                0.88956,                0.76652,                0.84842,                0.48723,                 1.4688,                0.93841,                 1.6317,               0.000317,               0.000317,               0.000317
                     87,                0.96216,                0.67239,                 1.1101,                 0.9263,                0.72247,                0.84283,                0.49496,                 1.4614,                0.98184,                 1.6013,              0.0002972,              0.0002972,              0.0002972
                     88,                0.95641,                0.67655,                 1.1119,                0.87562,                0.77531,                0.84996,                0.49489,                  1.454,                0.97261,                 1.5828,              0.0002774,              0.0002774,              0.0002774
                     89,                0.96263,                0.68732,                 1.1101,                0.92104,                0.76652,                0.84582,                0.49127,                 1.4428,                0.98951,                 1.5983,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96752,                  0.649,                 1.0908,                0.87373,                0.77974,                0.83268,                0.48585,                 1.4985,                  1.027,                 1.6213,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82081,                0.57897,                 1.0512,                 0.8614,                0.77533,                0.83493,                 0.4919,                 1.4551,                 1.0189,                 1.5897,               0.000218,               0.000218,               0.000218
                     92,                0.80954,                0.53221,                 1.0272,                0.91554,                 0.7533,                0.83789,                0.48946,                 1.4715,                 1.0392,                  1.617,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.8156,                0.53011,                 1.0402,                0.90169,                0.76773,                0.84862,                0.50559,                 1.4716,                0.98229,                 1.6315,              0.0001784,              0.0001784,              0.0001784
                     94,                0.80302,                0.53134,                  1.026,                0.92731,                0.77974,                0.85483,                0.50636,                   1.44,                0.95658,                 1.6105,              0.0001586,              0.0001586,              0.0001586
                     95,                0.78214,                0.51394,                 1.0265,                0.92116,                0.78414,                0.85515,                0.50083,                 1.4506,                0.96356,                 1.6117,              0.0001388,              0.0001388,              0.0001388
                     96,                0.78552,                0.51615,                 1.0298,                0.87146,                0.79736,                0.85349,                0.50792,                 1.4395,                0.96727,                  1.599,               0.000119,               0.000119,               0.000119
                     97,                0.78819,                0.51715,                 1.0254,                0.89212,                0.77533,                0.85546,                0.50154,                 1.4528,                0.96947,                 1.6058,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76959,                0.49905,                 1.0243,                0.93985,                0.75717,                0.85776,                0.50443,                 1.4464,                0.95839,                 1.6001,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.75714,                0.48756,                 1.0065,                0.88768,                0.80176,                0.85668,                0.50363,                 1.4545,                0.95856,                 1.6057,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.77264,                0.50458,                 1.0313,                0.90146,                0.80617,                0.85685,                0.50372,                 1.4516,                 0.9567,                 1.6019,               3.98e-05,               3.98e-05,               3.98e-05
