                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.74331,                0.76526,                 1.1579,                0.67458,                0.60345,                0.67085,                0.45662,                  1.209,                 1.3805,                 1.5125,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78442,                0.72866,                 1.1588,                0.65601,                0.70694,                 0.7298,                0.50213,                 1.1305,                 1.1465,                 1.4208,              0.0010496,              0.0010496,              0.0010496
                     50,                0.74186,                0.74916,                 1.1392,                 0.6398,                0.64313,                0.66956,                0.41058,                 1.3772,                 1.4565,                 1.7518,              0.0010298,              0.0010298,              0.0010298
                     51,                0.76487,                0.74079,                   1.15,                0.66577,                0.75557,                0.71981,                0.47704,                 1.1509,                 1.1798,                  1.455,                0.00101,                0.00101,                0.00101
                     52,                0.72938,                0.70679,                 1.1291,                0.70207,                0.74138,                0.73346,                0.49543,                 1.1925,                 1.0697,                 1.5627,              0.0009902,              0.0009902,              0.0009902
                     53,                0.73532,                0.72063,                 1.1419,                0.75415,                0.68103,                0.75528,                0.54768,                 1.0653,                 1.0593,                 1.4185,              0.0009704,              0.0009704,              0.0009704
                     54,                0.72352,                0.69795,                 1.1383,                0.71925,                 0.7509,                0.75932,                0.56022,                 1.0253,                 1.1228,                 1.3447,              0.0009506,              0.0009506,              0.0009506
                     55,                0.71508,                0.72921,                 1.1088,                0.82593,                0.65447,                0.74332,                0.49541,                 1.1455,                 1.2511,                 1.4969,              0.0009308,              0.0009308,              0.0009308
                     56,                0.71958,                0.70588,                  1.127,                0.67051,                0.68103,                0.72655,                0.50692,                 1.0916,                 1.2846,                 1.4418,               0.000911,               0.000911,               0.000911
                     57,                0.71965,                0.68171,                 1.1222,                0.66574,                0.74138,                0.75294,                0.53992,                 1.0754,                 1.1526,                 1.4006,              0.0008912,              0.0008912,              0.0008912
                     58,                0.72904,                 0.6856,                 1.1466,                0.69648,                 0.7069,                0.73561,                0.53225,                 1.0702,                 1.1742,                 1.4082,              0.0008714,              0.0008714,              0.0008714
                     59,                0.68001,                0.68992,                  1.107,                0.70442,                0.66379,                0.72125,                0.50947,                 1.1116,                 1.1017,                 1.4527,              0.0008516,              0.0008516,              0.0008516
                     60,                0.67581,                0.63971,                 1.1016,                0.67957,                0.68103,                0.69978,                0.47864,                 1.1729,                 1.1978,                 1.5418,              0.0008318,              0.0008318,              0.0008318
                     61,                0.69563,                0.64838,                 1.1235,                0.65041,                0.72177,                0.70414,                0.50404,                 1.0757,                 1.1791,                 1.4138,               0.000812,               0.000812,               0.000812
                     62,                0.70436,                0.64338,                 1.1224,                0.71362,                0.68743,                0.71824,                0.52094,                 1.0596,                 1.1835,                 1.4204,              0.0007922,              0.0007922,              0.0007922
                     63,                0.67929,                0.66251,                 1.1025,                0.70275,                0.75412,                0.76609,                0.56468,                0.98148,                  1.026,                 1.3572,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.7035,                0.69748,                 1.1237,                0.70661,                0.70593,                0.73404,                0.53331,                  1.043,                 1.2452,                 1.3808,              0.0007526,              0.0007526,              0.0007526
                     65,                0.67471,                0.67871,                 1.1168,                0.72811,                0.67241,                0.77242,                 0.5685,                 1.0075,                 1.0373,                 1.3474,              0.0007328,              0.0007328,              0.0007328
                     66,                0.65066,                 0.6195,                 1.0908,                0.76149,                0.71559,                 0.7914,                0.59118,                0.96562,                0.96394,                 1.3278,               0.000713,               0.000713,               0.000713
                     67,                0.64925,                0.60886,                 1.1015,                0.65001,                0.75862,                0.76113,                0.56736,                0.97947,                 1.0722,                 1.3602,              0.0006932,              0.0006932,              0.0006932
                     68,                0.66075,                0.62773,                 1.1019,                0.72482,                0.69828,                 0.7739,                0.55543,                 1.0384,                 1.1286,                 1.3999,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.6639,                0.61747,                 1.0897,                0.71155,                0.78685,                0.80277,                0.58034,                 1.0139,                 1.0117,                 1.3694,              0.0006536,              0.0006536,              0.0006536
                     70,                0.63395,                0.59718,                 1.0797,                0.64355,                0.80172,                0.78497,                0.57818,                 1.0191,                 1.0665,                  1.377,              0.0006338,              0.0006338,              0.0006338
                     71,                0.64784,                0.62233,                 1.0767,                0.69764,                0.71606,                0.78012,                0.58891,                0.99823,                 1.1031,                 1.3526,               0.000614,               0.000614,               0.000614
                     72,                0.60851,                0.59573,                 1.0769,                0.70272,                 0.7069,                0.79211,                0.58422,                  1.001,                 1.0737,                  1.348,              0.0005942,              0.0005942,              0.0005942
                     73,                0.63898,                0.60652,                 1.0764,                0.74423,                0.69828,                0.78594,                0.56091,                 1.0351,                  1.151,                 1.3732,              0.0005744,              0.0005744,              0.0005744
                     74,                0.63669,                0.60408,                  1.079,                0.74247,                0.69593,                0.78021,                  0.584,                0.98227,                 1.1743,                 1.3211,              0.0005546,              0.0005546,              0.0005546
                     75,                0.64728,                0.61356,                 1.0928,                0.76033,                0.65517,                0.77756,                0.58093,                0.99815,                 1.1433,                 1.3662,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.6223,                0.58532,                 1.0617,                0.64704,                0.79017,                0.77022,                0.57067,                0.99632,                 1.0826,                  1.366,               0.000515,               0.000515,               0.000515
                     77,                0.60996,                0.59295,                 1.0606,                0.70615,                0.78723,                0.79182,                0.58885,                0.98767,                 1.0281,                 1.3543,              0.0004952,              0.0004952,              0.0004952
                     78,                0.61219,                0.58496,                 1.0653,                0.77182,                0.75816,                0.78447,                 0.5914,                0.95253,                 1.0475,                 1.3207,              0.0004754,              0.0004754,              0.0004754
                     79,                0.60366,                0.55214,                 1.0629,                0.73428,                0.78614,                0.77951,                0.58178,                0.96027,                 1.0854,                 1.3187,              0.0004556,              0.0004556,              0.0004556
                     80,                0.60426,                0.54465,                 1.0729,                0.75245,                0.73372,                0.78919,                0.58201,                 0.9943,                 1.0311,                 1.3592,              0.0004358,              0.0004358,              0.0004358
                     81,                0.58323,                0.54254,                  1.052,                0.72352,                0.77586,                  0.787,                0.58865,                 0.9802,                0.99878,                  1.347,               0.000416,               0.000416,               0.000416
                     82,                0.59938,                0.55275,                 1.0468,                0.80993,                0.64655,                0.76333,                0.57699,                 1.0284,                 1.1544,                 1.3914,              0.0003962,              0.0003962,              0.0003962
                     83,                0.56804,                0.50174,                 1.0513,                0.84369,                0.62931,                0.77689,                0.58104,                0.99199,                 1.0676,                 1.3619,              0.0003764,              0.0003764,              0.0003764
                     84,                0.57878,                0.54614,                 1.0654,                0.80848,                0.67241,                0.77954,                0.58798,                0.99013,                 1.0614,                 1.3516,              0.0003566,              0.0003566,              0.0003566
                     85,                0.56607,                0.52019,                 1.0207,                0.69743,                0.77496,                0.78541,                0.60117,                0.96923,                 1.0663,                  1.347,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.5794,                0.53549,                 1.0556,                0.70216,                0.79261,                0.78775,                0.58224,                   1.02,                 1.0846,                 1.3679,               0.000317,               0.000317,               0.000317
                     87,                0.56386,                0.50381,                  1.026,                0.74241,                0.74138,                0.80009,                0.58832,                 1.0366,                 1.1261,                 1.3778,              0.0002972,              0.0002972,              0.0002972
                     88,                0.57555,                 0.5165,                 1.0482,                0.69554,                0.77586,                0.79807,                0.60399,                0.98409,                 1.0895,                 1.3341,              0.0002774,              0.0002774,              0.0002774
